task_name,seed,env,ordering,iteration,adv_rank_max,adv_rank_mean,val_rank_max,val_rank_mean,policy_rank_max,policy_rank_mean,adv_rank_profile_json,val_rank_profile_json,policy_rank_profile_json,adv_rank_1,adv_rank_2,adv_rank_3,adv_rank_4,adv_rank_5,adv_rank_6,adv_rank_7,adv_rank_8,adv_rank_9,adv_rank_10,adv_rank_11,adv_rank_12,adv_rank_13,adv_rank_14,adv_rank_15,adv_rank_16,adv_rank_17,adv_rank_18,adv_rank_19,val_rank_1,val_rank_2,val_rank_3,policy_rank_1,policy_rank_2,policy_rank_3,policy_rank_4,policy_rank_5,policy_rank_6,policy_rank_7,policy_rank_8,policy_rank_9,policy_rank_10,policy_rank_11,policy_rank_12,policy_rank_13,policy_rank_14,policy_rank_15,policy_rank_16,policy_rank_17,policy_rank_18,policy_rank_19
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed2_permseed2_formal5080,2,HM8_actuator_relabelled,random,1,3.0,1.263157894736842,2.0,1.3333333333333333,5.0,3.210526315789474,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 1, 1]","[5, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]",3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed2_permseed2_formal5080,2,HM8_actuator_relabelled,random,2,3.0,1.263157894736842,2.0,1.3333333333333333,5.0,3.210526315789474,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2, 1, 1]","[5, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]",3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed2_permseed2_formal5080,2,HM8_actuator_relabelled,random,3,3.0,1.263157894736842,3.0,2.6666666666666665,5.0,3.210526315789474,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3, 3, 2]","[5, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]",3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed2_permseed2_formal5080,2,HM8_actuator_relabelled,random,4,3.0,1.263157894736842,3.0,2.6666666666666665,5.0,3.210526315789474,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3, 3, 2]","[5, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]",3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed2_permseed2_formal5080,2,HM8_actuator_relabelled,random,5,3.0,1.263157894736842,3.0,2.6666666666666665,5.0,3.210526315789474,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3, 3, 2]","[5, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]",3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed2_permseed2_formal5080,2,HM8_actuator_relabelled,random,6,4.0,2.6315789473684212,3.0,2.6666666666666665,6.0,4.578947368421052,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 2, 1, 1, 1, 1]","[3, 3, 2]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 5, 5, 4, 3, 3, 3, 2]",3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,1,1,1,1,3,3,2,5,5,5,5,5,5,5,5,5,5,6,6,5,5,4,3,3,3,2
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed2_permseed2_formal5080,2,HM8_actuator_relabelled,random,7,5.0,3.789473684210526,3.0,2.6666666666666665,7.0,5.631578947368421,"[3, 3, 3, 3, 3, 4, 5, 5, 4, 5, 5, 5, 4, 4, 4, 4, 3, 3, 2]","[3, 3, 2]","[5, 5, 5, 5, 5, 6, 7, 7, 6, 7, 7, 7, 6, 6, 6, 6, 5, 4, 2]",3,3,3,3,3,4,5,5,4,5,5,5,4,4,4,4,3,3,2,3,3,2,5,5,5,5,5,6,7,7,6,7,7,7,6,6,6,6,5,4,2
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed2_permseed2_formal5080,2,HM8_actuator_relabelled,random,8,5.0,3.736842105263158,3.0,2.6666666666666665,7.0,5.578947368421052,"[3, 3, 3, 3, 4, 4, 5, 4, 3, 4, 5, 5, 4, 5, 4, 4, 3, 3, 2]","[3, 3, 2]","[5, 5, 5, 5, 6, 6, 7, 6, 5, 6, 7, 7, 6, 7, 6, 6, 5, 4, 2]",3,3,3,3,4,4,5,4,3,4,5,5,4,5,4,4,3,3,2,3,3,2,5,5,5,5,6,6,7,6,5,6,7,7,6,7,6,6,5,4,2
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed2_permseed2_formal5080,2,HM8_actuator_relabelled,random,9,6.0,4.2105263157894735,3.0,2.6666666666666665,8.0,6.052631578947368,"[3, 3, 3, 3, 4, 5, 6, 5, 4, 5, 5, 6, 5, 6, 5, 4, 3, 3, 2]","[3, 3, 2]","[5, 5, 5, 5, 6, 7, 8, 7, 6, 7, 7, 8, 7, 8, 7, 6, 5, 4, 2]",3,3,3,3,4,5,6,5,4,5,5,6,5,6,5,4,3,3,2,3,3,2,5,5,5,5,6,7,8,7,6,7,7,8,7,8,7,6,5,4,2
HM8_actuator_relabelled_state40_action50_iter30_orderrandom_seed2_permseed2_formal5080,2,HM8_actuator_relabelled,random,10,7.0,4.368421052631579,3.0,2.6666666666666665,9.0,6.2105263157894735,"[3, 3, 3, 3, 4, 5, 6, 5, 4, 5, 6, 7, 6, 6, 5, 4, 3, 3, 2]","[3, 3, 2]","[5, 5, 5, 5, 6, 7, 8, 7, 6, 7, 8, 9, 8, 8, 7, 6, 5, 4, 2]",3,3,3,3,4,5,6,5,4,5,6,7,6,6,5,4,3,3,2,3,3,2,5,5,5,5,6,7,8,7,6,7,8,9,8,8,7,6,5,4,2
