task_name,seed,env,ordering,event_index,model,iteration,stage,memory_mb,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed2_formal5080,2,HM16,rankaware_proxy_pam,1,advantage,1,after_compute,9.013248,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1428571428571428,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed2_formal5080,2,HM16,rankaware_proxy_pam,2,advantage,1,after_compute,8.896512,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1428571428571428,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed2_formal5080,2,HM16,rankaware_proxy_pam,3,advantage,1,after_compute,8.904704,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1428571428571428,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed2_formal5080,2,HM16,rankaware_proxy_pam,4,advantage,1,after_compute,8.904704,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1428571428571428,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed2_formal5080,2,HM16,rankaware_proxy_pam,5,advantage,1,after_compute,8.942592,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2]",3,2.4571428571428573,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed2_formal5080,2,HM16,rankaware_proxy_pam,6,advantage,1,after_compute,9.1008,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 3, 2, 3, 2, 2]",4,3.1714285714285713,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,3,2,3,2,2
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed2_formal5080,2,HM16,rankaware_proxy_pam,7,advantage,1,after_compute,9.20064,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 2]",4,3.1714285714285713,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,2,3,3,3,2,3,2,2
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed2_formal5080,2,HM16,rankaware_proxy_pam,8,advantage,1,after_compute,9.246208,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 5, 5, 6, 5, 6, 5, 6, 5, 6, 5, 5, 3, 4, 3, 2]",6,4.0,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,5,5,6,5,6,5,6,5,6,5,5,3,4,3,2
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed2_formal5080,2,HM16,rankaware_proxy_pam,9,advantage,1,after_compute,9.368064,"[3, 3, 3, 3, 4, 4, 5, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 5, 4, 5, 4, 5, 4, 4, 3, 4, 3, 2]",5,3.6857142857142855,3,3,3,3,4,4,5,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,5,4,5,4,5,4,4,3,4,3,2
HM16_state40_action50_iter30_orderrankaware_proxy_pam_seed2_formal5080,2,HM16,rankaware_proxy_pam,10,advantage,1,after_compute,9.365504,"[3, 4, 4, 4, 5, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 5, 5, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 4, 3, 4, 3, 2]",6,4.571428571428571,3,4,4,4,5,5,6,5,6,5,6,5,6,5,6,5,5,5,5,4,5,4,5,4,5,4,5,4,5,4,4,3,4,3,2
