task_name,seed,env,ordering,event_index,model,iteration,stage,memory_mb,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed3_formal5080,3,HM8_actuator_relabelled,badsplit,1,advantage,1,after_compute,9.227264,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed3_formal5080,3,HM8_actuator_relabelled,badsplit,2,advantage,1,after_compute,8.923136,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed3_formal5080,3,HM8_actuator_relabelled,badsplit,3,advantage,1,after_compute,8.931328,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed3_formal5080,3,HM8_actuator_relabelled,badsplit,4,advantage,1,after_compute,8.931328,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed3_formal5080,3,HM8_actuator_relabelled,badsplit,5,advantage,1,after_compute,8.931328,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed3_formal5080,3,HM8_actuator_relabelled,badsplit,6,advantage,1,after_compute,8.963072,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 1, 1, 1]",3,2.6315789473684212,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed3_formal5080,3,HM8_actuator_relabelled,badsplit,7,advantage,1,after_compute,9.201664,"[3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 9, 9, 8, 7, 6, 5, 4, 3, 2]",9,5.473684210526316,3,3,3,3,4,5,6,7,8,9,9,9,8,7,6,5,4,3,2
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed3_formal5080,3,HM8_actuator_relabelled,badsplit,8,advantage,1,after_compute,9.50784,"[3, 3, 3, 3, 4, 4, 4, 5, 6, 7, 8, 8, 7, 7, 6, 5, 4, 3, 2]",8,4.842105263157895,3,3,3,3,4,4,4,5,6,7,8,8,7,7,6,5,4,3,2
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed3_formal5080,3,HM8_actuator_relabelled,badsplit,9,advantage,1,after_compute,9.4208,"[3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 9, 9, 8, 7, 6, 5, 4, 3, 2]",9,5.473684210526316,3,3,3,3,4,5,6,7,8,9,9,9,8,7,6,5,4,3,2
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed3_formal5080,3,HM8_actuator_relabelled,badsplit,10,advantage,1,after_compute,9.56416,"[3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 9, 9, 8, 7, 6, 5, 4, 3, 2]",9,5.473684210526316,3,3,3,3,4,5,6,7,8,9,9,9,8,7,6,5,4,3,2
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed3_formal5080,3,HM8_actuator_relabelled,badsplit,11,advantage,1,after_compute,9.604096,"[3, 3, 3, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 13, 10, 6, 4, 3, 2]",13,6.631578947368421,3,3,3,3,4,5,6,7,8,10,11,12,13,13,10,6,4,3,2
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed3_formal5080,3,HM8_actuator_relabelled,badsplit,12,advantage,1,after_compute,9.678848,"[3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 10, 10, 8, 6, 4, 3, 2]",11,6.052631578947368,3,3,3,3,4,5,6,7,8,9,10,11,10,10,8,6,4,3,2
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed3_formal5080,3,HM8_actuator_relabelled,badsplit,13,advantage,1,after_compute,9.840128,"[3, 4, 4, 4, 5, 6, 7, 8, 11, 13, 16, 21, 22, 20, 14, 9, 5, 3, 2]",22,9.31578947368421,3,4,4,4,5,6,7,8,11,13,16,21,22,20,14,9,5,3,2
HM8_actuator_relabelled_state40_action50_iter30_orderbadsplit_seed3_formal5080,3,HM8_actuator_relabelled,badsplit,14,advantage,1,after_compute,10.244608,"[3, 4, 4, 4, 5, 6, 7, 8, 9, 10, 13, 16, 18, 18, 14, 9, 5, 3, 2]",18,8.31578947368421,3,4,4,4,5,6,7,8,9,10,13,16,18,18,14,9,5,3,2
