task_name,seed,env,ordering,event_index,model,iteration,stage,memory_mb,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed1_formal5080,1,HM8_actuator_relabelled,block_pam,1,advantage,1,after_compute,8.807936,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed1_formal5080,1,HM8_actuator_relabelled,block_pam,2,advantage,1,after_compute,8.756736,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed1_formal5080,1,HM8_actuator_relabelled,block_pam,3,advantage,1,after_compute,8.764928,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed1_formal5080,1,HM8_actuator_relabelled,block_pam,4,advantage,1,after_compute,8.764928,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed1_formal5080,1,HM8_actuator_relabelled,block_pam,5,advantage,1,after_compute,8.764928,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed1_formal5080,1,HM8_actuator_relabelled,block_pam,6,advantage,1,after_compute,8.764928,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed1_formal5080,1,HM8_actuator_relabelled,block_pam,7,advantage,1,after_compute,8.798208,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.1052631578947367,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed1_formal5080,1,HM8_actuator_relabelled,block_pam,8,advantage,1,after_compute,8.91392,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.1052631578947367,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed1_formal5080,1,HM8_actuator_relabelled,block_pam,9,advantage,1,after_compute,8.91392,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.1052631578947367,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,2
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed1_formal5080,1,HM8_actuator_relabelled,block_pam,10,advantage,1,after_compute,8.91392,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.1052631578947367,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,2
