task_name,seed,env,ordering,event_index,model,iteration,stage,memory_mb,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_actuator_relabelled_state40_action50_iter30_orderpeakcut_pam_seed2_formal5080,2,HM8_actuator_relabelled,peakcut_pam,1,advantage,1,after_compute,8.800256,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderpeakcut_pam_seed2_formal5080,2,HM8_actuator_relabelled,peakcut_pam,2,advantage,1,after_compute,8.749056,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderpeakcut_pam_seed2_formal5080,2,HM8_actuator_relabelled,peakcut_pam,3,advantage,1,after_compute,8.757248,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderpeakcut_pam_seed2_formal5080,2,HM8_actuator_relabelled,peakcut_pam,4,advantage,1,after_compute,8.757248,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderpeakcut_pam_seed2_formal5080,2,HM8_actuator_relabelled,peakcut_pam,5,advantage,1,after_compute,8.757248,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderpeakcut_pam_seed2_formal5080,2,HM8_actuator_relabelled,peakcut_pam,6,advantage,1,after_compute,8.773632,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1]",3,2.263157894736842,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderpeakcut_pam_seed2_formal5080,2,HM8_actuator_relabelled,peakcut_pam,7,advantage,1,after_compute,8.850432,"[3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.1578947368421053,3,3,3,3,4,3,3,3,4,3,4,3,4,3,4,3,3,2,2
HM8_actuator_relabelled_state40_action50_iter30_orderpeakcut_pam_seed2_formal5080,2,HM8_actuator_relabelled,peakcut_pam,8,advantage,1,after_compute,8.912896,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.210526315789474,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
HM8_actuator_relabelled_state40_action50_iter30_orderpeakcut_pam_seed2_formal5080,2,HM8_actuator_relabelled,peakcut_pam,9,advantage,1,after_compute,8.921088,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 5, 4, 4, 3, 2]",5,3.4210526315789473,3,3,3,3,4,3,4,3,4,3,4,3,4,3,5,4,4,3,2
HM8_actuator_relabelled_state40_action50_iter30_orderpeakcut_pam_seed2_formal5080,2,HM8_actuator_relabelled,peakcut_pam,10,advantage,1,after_compute,8.932352,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.210526315789474,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
