task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27
HM12_state40_action50_iter30_orderrandom_seed2_permseed1_formal5080,2,HM12,random,1,reward_fcn,after_cross_before_round,1.1778120696544647,9.217024,270896,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM12_state40_action50_iter30_orderrandom_seed2_permseed1_formal5080,2,HM12,random,1,reward_fcn,after_round,1.2525644320994616,8.699392,270896,"[2, 2, 2, 2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 8, 9, 8, 7, 8, 7, 6, 5, 6, 5, 5, 4, 3, 2]",9,5.185185185185185,2,2,2,2,3,4,5,6,5,6,7,6,7,8,9,8,7,8,7,6,5,6,5,5,4,3,2
HM12_state40_action50_iter30_orderrandom_seed2_permseed1_formal5080,2,HM12,random,2,bellman_operator,after_cross_before_round,4.427890009246767,9.73824,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderrandom_seed2_permseed1_formal5080,2,HM12,random,2,bellman_operator,after_round,4.431264976970851,9.65632,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderrandom_seed2_permseed1_formal5080,2,HM12,random,3,get_advantage_from_value,after_cross_before_round,1.1290106074884534,10.33984,270896,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM12_state40_action50_iter30_orderrandom_seed2_permseed1_formal5080,2,HM12,random,3,get_advantage_from_value,after_round,1.1778858182951808,9.674752,270896,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1851851851851851,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM12_state40_action50_iter30_orderrandom_seed2_permseed1_formal5080,2,HM12,random,4,bellman_operator,after_cross_before_round,3.0357800954952836,9.141248,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderrandom_seed2_permseed1_formal5080,2,HM12,random,4,bellman_operator,after_round,3.0396303702145815,9.059328,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
HM12_state40_action50_iter30_orderrandom_seed2_permseed1_formal5080,2,HM12,random,5,get_advantage_from_value,after_cross_before_round,1.1417113915085793,9.7408,270896,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",11,11.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HM12_state40_action50_iter30_orderrandom_seed2_permseed1_formal5080,2,HM12,random,5,get_advantage_from_value,after_round,1.1766331093385816,9.075712,270896,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1851851851851851,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
