task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_state40_action50_iter30_orderrankaware_proxy_pam_seed9_formal5080,9,HM8,rankaware_proxy_pam,1,reward_fcn,after_cross_before_round,0.7106406539678574,9.017344,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_state40_action50_iter30_orderrankaware_proxy_pam_seed9_formal5080,9,HM8,rankaware_proxy_pam,1,reward_fcn,after_round,0.7717357501387596,8.562176,221362,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2]",3,2.3684210526315788,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2
HM8_state40_action50_iter30_orderrankaware_proxy_pam_seed9_formal5080,9,HM8,rankaware_proxy_pam,2,bellman_operator,after_cross_before_round,2.3482703901827335,8.89088,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderrankaware_proxy_pam_seed9_formal5080,9,HM8,rankaware_proxy_pam,2,bellman_operator,after_round,2.3510666750371456,8.80896,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderrankaware_proxy_pam_seed9_formal5080,9,HM8,rankaware_proxy_pam,3,get_advantage_from_value,after_cross_before_round,0.6058546118438244,9.2928,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_state40_action50_iter30_orderrankaware_proxy_pam_seed9_formal5080,9,HM8,rankaware_proxy_pam,3,get_advantage_from_value,after_round,0.6304587908089161,8.823296,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderrankaware_proxy_pam_seed9_formal5080,9,HM8,rankaware_proxy_pam,4,bellman_operator,after_cross_before_round,2.0595803074538708,8.831488,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderrankaware_proxy_pam_seed9_formal5080,9,HM8,rankaware_proxy_pam,4,bellman_operator,after_round,2.070642499253154,8.749568,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderrankaware_proxy_pam_seed9_formal5080,9,HM8,rankaware_proxy_pam,5,get_advantage_from_value,after_cross_before_round,0.6621722830459476,9.23136,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_state40_action50_iter30_orderrankaware_proxy_pam_seed9_formal5080,9,HM8,rankaware_proxy_pam,5,get_advantage_from_value,after_round,0.6994134988635778,8.761856,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_orderrankaware_proxy_pam_seed9_formal5080,9,HM8,rankaware_proxy_pam,6,bellman_operator,after_cross_before_round,2.1291806744411588,8.831488,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_state40_action50_iter30_orderrankaware_proxy_pam_seed9_formal5080,9,HM8,rankaware_proxy_pam,6,bellman_operator,after_round,2.1331191966310143,8.753664,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,
