task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_actuator_relabelled_state40_action50_iter30_orderlocal_seed0_formal5080,0,HM8_actuator_relabelled,local,1,reward_fcn,after_cross_before_round,0.7222920814529061,9.017344,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderlocal_seed0_formal5080,0,HM8_actuator_relabelled,local,1,reward_fcn,after_round,0.7896447544917464,8.562176,221362,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2]",3,2.3684210526315788,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2
HM8_actuator_relabelled_state40_action50_iter30_orderlocal_seed0_formal5080,0,HM8_actuator_relabelled,local,2,bellman_operator,after_cross_before_round,2.214584100060165,8.89088,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderlocal_seed0_formal5080,0,HM8_actuator_relabelled,local,2,bellman_operator,after_round,2.2182503724470735,8.80896,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderlocal_seed0_formal5080,0,HM8_actuator_relabelled,local,3,get_advantage_from_value,after_cross_before_round,0.5964252473786473,9.2928,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderlocal_seed0_formal5080,0,HM8_actuator_relabelled,local,3,get_advantage_from_value,after_round,0.620120557025075,8.823296,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_actuator_relabelled_state40_action50_iter30_orderlocal_seed0_formal5080,0,HM8_actuator_relabelled,local,4,bellman_operator,after_cross_before_round,1.9564294908195734,8.831488,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderlocal_seed0_formal5080,0,HM8_actuator_relabelled,local,4,bellman_operator,after_round,1.9607779262587428,8.749568,120960,"[2, 1, 1]",2,1.3333333333333333,2,1,1,,,,,,,,,,,,,,,,
HM8_actuator_relabelled_state40_action50_iter30_orderlocal_seed0_formal5080,0,HM8_actuator_relabelled,local,5,get_advantage_from_value,after_cross_before_round,0.686762516386807,9.23136,221362,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 2]",11,10.526315789473685,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
HM8_actuator_relabelled_state40_action50_iter30_orderlocal_seed0_formal5080,0,HM8_actuator_relabelled,local,5,get_advantage_from_value,after_round,0.7140777371823788,8.761856,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
