task_name,seed,env,ordering,call_index,function_name,domain_dim,domain_sizes_json,max_batch,rmax,nswp,eps,kickrank,elapsed_sec,memory_mb_start,memory_mb_end,function_eval_requests,queried_points,rank_profile_json,rank_max,rank_mean
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed0_formal5080,0,HM8_actuator_relabelled,block_pam,1,reward_fcn,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.0001,10,0.7492511756718159,0.0128,8.572416,221362,221362,"[2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2]",3,2.3684210526315788
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed0_formal5080,0,HM8_actuator_relabelled,block_pam,2,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,2.2476355880498886,8.802304,8.807424,120960,120960,"[2, 1, 1]",2,1.3333333333333333
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed0_formal5080,0,HM8_actuator_relabelled,block_pam,3,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,0.6020302018150687,8.804352,8.829952,221362,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed0_formal5080,0,HM8_actuator_relabelled,block_pam,4,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.9044958027079701,8.738816,8.743936,120960,120960,"[2, 1, 1]",2,1.3333333333333333
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed0_formal5080,0,HM8_actuator_relabelled,block_pam,5,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,0.628581166267395,8.738816,8.764416,221362,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed0_formal5080,0,HM8_actuator_relabelled,block_pam,6,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.8431164305657148,8.738816,8.748032,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed0_formal5080,0,HM8_actuator_relabelled,block_pam,7,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,0.6167089026421309,8.747008,8.772608,221362,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed0_formal5080,0,HM8_actuator_relabelled,block_pam,8,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.9882996147498488,8.747008,8.756224,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed0_formal5080,0,HM8_actuator_relabelled,block_pam,9,get_advantage_from_value,20,"[40, 40, 40, 40, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2, 50, 2]",100002,100,10,0.001,10,0.6154250567778945,8.747008,8.772608,221362,221362,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842
HM8_actuator_relabelled_state40_action50_iter30_orderblock_pam_seed0_formal5080,0,HM8_actuator_relabelled,block_pam,10,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,1.9509350787848234,8.747008,8.756224,120960,120960,"[3, 3, 2]",3,2.6666666666666665
