task_name,seed,env,ordering,call_index,function_name,domain_dim,domain_sizes_json,max_batch,rmax,nswp,eps,kickrank,elapsed_sec,memory_mb_start,memory_mb_end,function_eval_requests,queried_points,rank_profile_json,rank_max,rank_mean
HM16_state40_action50_iter30_orderrandom_seed0_permseed1_formal5080,0,HM16,random,1,reward_fcn,36,"[40, 40, 40, 40, 50, 2, 2, 50, 50, 2, 2, 50, 2, 50, 2, 2, 50, 2, 50, 50, 2, 2, 50, 50, 50, 2, 50, 2, 2, 2, 50, 50, 2, 2, 50, 50]",100002,100,10,0.0001,10,2.2839317908510566,0.0128,8.873984,321648,321648,"[2, 2, 2, 2, 3, 4, 5, 4, 5, 6, 7, 6, 7, 6, 7, 8, 9, 10, 11, 10, 11, 10, 9, 8, 7, 6, 7, 6, 7, 6, 5, 5, 4, 3, 2]",11,6.057142857142857
HM16_state40_action50_iter30_orderrandom_seed0_permseed1_formal5080,0,HM16,random,2,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,6.067223499529064,10.068992,10.074112,120960,120960,"[2, 1, 1]",2,1.3333333333333333
HM16_state40_action50_iter30_orderrandom_seed0_permseed1_formal5080,0,HM16,random,3,get_advantage_from_value,36,"[40, 40, 40, 40, 50, 2, 2, 50, 50, 2, 2, 50, 2, 50, 2, 2, 50, 2, 50, 50, 2, 2, 50, 50, 50, 2, 50, 2, 2, 2, 50, 50, 2, 2, 50, 50]",100002,100,10,0.001,10,2.196857606060803,10.07104,10.113024,321648,321648,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1428571428571428
HM16_state40_action50_iter30_orderrandom_seed0_permseed1_formal5080,0,HM16,random,4,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.7175640100613236,9.1648,9.16992,120960,120960,"[2, 1, 1]",2,1.3333333333333333
HM16_state40_action50_iter30_orderrandom_seed0_permseed1_formal5080,0,HM16,random,5,get_advantage_from_value,36,"[40, 40, 40, 40, 50, 2, 2, 50, 50, 2, 2, 50, 2, 50, 2, 2, 50, 2, 50, 50, 2, 2, 50, 50, 50, 2, 50, 2, 2, 2, 50, 50, 2, 2, 50, 50]",100002,100,10,0.001,10,2.0021352879703045,9.1648,9.206784,321648,321648,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1428571428571428
HM16_state40_action50_iter30_orderrandom_seed0_permseed1_formal5080,0,HM16,random,6,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.7551316805183887,9.1648,9.174016,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM16_state40_action50_iter30_orderrandom_seed0_permseed1_formal5080,0,HM16,random,7,get_advantage_from_value,36,"[40, 40, 40, 40, 50, 2, 2, 50, 50, 2, 2, 50, 2, 50, 2, 2, 50, 2, 50, 50, 2, 2, 50, 50, 50, 2, 50, 2, 2, 2, 50, 50, 2, 2, 50, 50]",100002,100,10,0.001,10,2.1305169677361846,9.172992,9.214976,321648,321648,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.1428571428571428
HM16_state40_action50_iter30_orderrandom_seed0_permseed1_formal5080,0,HM16,random,8,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,3.871385511942208,9.172992,9.182208,120960,120960,"[3, 3, 2]",3,2.6666666666666665
HM16_state40_action50_iter30_orderrandom_seed0_permseed1_formal5080,0,HM16,random,9,get_advantage_from_value,36,"[40, 40, 40, 40, 50, 2, 2, 50, 50, 2, 2, 50, 2, 50, 2, 2, 50, 2, 50, 50, 2, 2, 50, 50, 50, 2, 50, 2, 2, 2, 50, 50, 2, 2, 50, 50]",100002,100,10,0.001,10,2.2379737263545394,9.172992,9.236992,321648,321648,"[3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1]",3,2.0
HM16_state40_action50_iter30_orderrandom_seed0_permseed1_formal5080,0,HM16,random,10,bellman_operator,4,"[40, 40, 40, 40]",10002,100,5,0.001,10,4.219268123619258,9.268736,9.277952,120960,120960,"[3, 3, 2]",3,2.6666666666666665
