env,seed,training_seed,environment_seed,permutation_seed,state_sampling_seed,ordering,result,cmd
HM8,0,0,2026,0,0,free_pam,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderfree_pam_seed0_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 0 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 0 --action-order free_pam --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,0,0,2026,0,0,peakcut_pam,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderpeakcut_pam_seed0_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 0 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 0 --action-order peakcut_pam --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,0,0,2026,0,0,sensitivity_pam,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_ordersensitivity_pam_seed0_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 0 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 0 --action-order sensitivity_pam --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,0,0,2026,0,0,rankaware_proxy_pam,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderrankaware_proxy_pam_seed0_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 0 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 0 --action-order rankaware_proxy_pam --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,0,0,2026,0,0,hybrid_pam,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderhybrid_pam_seed0_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 0 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 0 --action-order hybrid_pam --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,1,1,2026,0,1,local,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderlocal_seed1_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 1 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 1 --action-order local --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,1,1,2026,0,1,random,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderrandom_seed1_permseed0_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 1 --environment-seed 2026 --permutation-seed 0 --include-permutation-seed-in-run-id --state-sampling-seed 1 --action-order random --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,1,1,2026,1,1,random,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderrandom_seed1_permseed1_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 1 --environment-seed 2026 --permutation-seed 1 --include-permutation-seed-in-run-id --state-sampling-seed 1 --action-order random --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,1,1,2026,2,1,random,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderrandom_seed1_permseed2_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 1 --environment-seed 2026 --permutation-seed 2 --include-permutation-seed-in-run-id --state-sampling-seed 1 --action-order random --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
HM8,1,1,2026,0,1,badsplit,/home/s110/code/ttpi_iclr/repro/results/HM8_state40_action50_iter30_orderbadsplit_seed1_formal5080.json,/home/s110/miniconda3/envs/tt_5080/bin/python3 /home/s110/code/ttpi_iclr/repro/scripts/run_hardmove.py --n-actuator 8 --env-variant standard --training-seed 1 --environment-seed 2026 --permutation-seed 0 --state-sampling-seed 1 --action-order badsplit --run-tag formal5080 --n-state 40 --n-action 50 --n-iter 30 --n-iter-v 1 --callback-freq 10 --n-test 100 --device cuda --max-batch-v 10000 --max-batch-a 100000 --nswp-v 5 --nswp-a 10 --rmax-v 100 --rmax-a 100 --kickrank-v 10 --kickrank-a 10 --eps-cross-v 0.001 --eps-cross-a 0.001 --eps-round-v 0.001 --eps-round-a 0.001 --n-samples 50
