task_name,seed,env,ordering,event_index,model,iteration,stage,memory_mb,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19
HM8_state40_action50_iter30_ordersensitivity_lite_fd5_seed2_prestudy5080lite,2,HM8,sensitivity_lite_fd5,1,advantage,1,after_compute,8.795136,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_ordersensitivity_lite_fd5_seed2_prestudy5080lite,2,HM8,sensitivity_lite_fd5,2,advantage,1,after_compute,8.74496,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_ordersensitivity_lite_fd5_seed2_prestudy5080lite,2,HM8,sensitivity_lite_fd5,3,advantage,1,after_compute,8.753152,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_ordersensitivity_lite_fd5_seed2_prestudy5080lite,2,HM8,sensitivity_lite_fd5,4,advantage,1,after_compute,8.753152,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_ordersensitivity_lite_fd5_seed2_prestudy5080lite,2,HM8,sensitivity_lite_fd5,5,advantage,1,after_compute,8.753152,"[3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,1.263157894736842,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HM8_state40_action50_iter30_ordersensitivity_lite_fd5_seed2_prestudy5080lite,2,HM8,sensitivity_lite_fd5,6,advantage,1,after_compute,8.774144,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2]",3,2.5789473684210527,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
HM8_state40_action50_iter30_ordersensitivity_lite_fd5_seed2_prestudy5080lite,2,HM8,sensitivity_lite_fd5,7,advantage,1,after_compute,8.850944,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 3, 2, 2, 2, 2]",4,2.8421052631578947,3,3,3,3,4,3,4,3,4,3,3,2,3,2,3,2,2,2,2
HM8_state40_action50_iter30_ordersensitivity_lite_fd5_seed2_prestudy5080lite,2,HM8,sensitivity_lite_fd5,8,advantage,1,after_compute,8.873984,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 3, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.0526315789473686,3,3,3,3,4,3,4,3,4,3,3,3,4,3,3,2,3,2,2
HM8_state40_action50_iter30_ordersensitivity_lite_fd5_seed2_prestudy5080lite,2,HM8,sensitivity_lite_fd5,9,advantage,1,after_compute,8.890368,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.1052631578947367,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,2
HM8_state40_action50_iter30_ordersensitivity_lite_fd5_seed2_prestudy5080lite,2,HM8,sensitivity_lite_fd5,10,advantage,1,after_compute,8.894464,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.1052631578947367,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,2
HM8_state40_action50_iter30_ordersensitivity_lite_fd5_seed2_prestudy5080lite,2,HM8,sensitivity_lite_fd5,11,advantage,1,after_compute,8.894464,"[3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 3, 2, 2]",4,3.1052631578947367,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,2,3,2,2
